ts_s,pid,tid,futex_key_addr,futex_key_word,futex_key_offset,total_requests,successful_count
2025-08-27 14:08:52.667145,838,15375,18446619754133548544,110455243796480,984,8,8
2025-08-27 14:08:52.667145,12972,12972,18446619755031287808,135707859542016,2340,20,20
2025-08-27 14:08:52.667145,13120,13752,18446619757348965632,131772475293696,1344,2,2
2025-08-27 14:08:52.667145,13253,16535,18446619754767492736,124874161020928,1972,2,2
2025-08-27 14:08:52.667145,13120,16577,18446619757348965632,131772469637120,3440,1,1
2025-08-27 14:08:52.667145,13253,16535,18446619754767492736,124874429988864,2132,26,26
2025-08-27 14:08:52.667145,13253,16544,18446619754767492736,124874161287168,1472,1,1
2025-08-27 14:08:52.667145,13120,16577,18446619757348965632,131772469637120,3248,3,3
2025-08-27 14:08:52.667145,13253,16538,18446619754767492736,124874161254400,3680,1,1
2025-08-27 14:08:52.667145,12972,12972,18446619755031287808,135707894947840,2276,2,2
2025-08-27 14:08:52.667145,13019,13019,18446619757348945920,22151168,4088,7,7
2025-08-27 14:08:52.667145,13120,13756,18446619757348965632,131772469637120,3632,1,1
2025-08-27 14:08:52.667145,13120,13756,18446619757348965632,131772471996416,3600,4,4
2025-08-27 14:08:52.667145,13253,16578,18446619754767492736,124874161233920,1424,1,1
2025-08-27 14:08:52.667145,12972,13409,18446619755031287808,135707868839936,1532,1,1
2025-08-27 14:08:52.667145,13019,13493,18446619757348945920,824634138624,2888,8,8
2025-08-27 14:08:52.667145,13253,16543,18446619754767492736,124874161262592,3124,1,1
2025-08-27 14:08:52.667145,13253,13684,18446619754767492736,124874161393664,4048,2,2
2025-08-27 14:08:52.667145,13253,16536,18446619754767492736,124874161254400,3680,1,1
2025-08-27 14:08:52.667145,13253,16578,18446619754767492736,124874161262592,3124,4,4
2025-08-27 14:08:52.667145,13253,16535,18446619754767492736,124874161242112,740,3,3
2025-08-27 14:08:52.667145,13253,16543,18446619754767492736,124874161192960,2416,1,1
2025-08-27 14:08:52.667145,12972,12972,18446619755031287808,135707851141120,2340,19,19
2025-08-27 14:08:52.667145,13253,16543,18446619754767492736,124874161278976,1920,1,1
2025-08-27 14:08:52.667145,13253,16578,18446619754767492736,124874161254400,3600,1,1
2025-08-27 14:08:52.667145,13120,13756,18446619757348965632,131772469637120,3440,4,4
2025-08-27 14:08:52.667145,13095,13670,18446619754767485696,27942912,2808,4,4
2025-08-27 14:08:52.667145,13095,13669,18446619754767485696,824638144512,3912,65,65
2025-08-27 14:08:53.667145,13019,13494,18446619757348945920,824634138624,1096,56,56
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874429988864,2048,2,2
2025-08-27 14:08:53.667145,13253,13684,18446619754767492736,124874161393664,4052,12,12
2025-08-27 14:08:53.667145,13095,13669,18446619754767485696,824638144512,2120,52,52
2025-08-27 14:08:53.667145,13253,13684,18446619754767492736,124874093789184,2180,15,15
2025-08-27 14:08:53.667145,838,12627,18446619754133548544,824649195520,328,56,56
2025-08-27 14:08:53.667145,13120,13756,18446619757348965632,131772543197184,1716,25,25
2025-08-27 14:08:53.667145,12972,12972,18446619755031287808,135707859542016,2340,18,18
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161270784,2560,1,1
2025-08-27 14:08:53.667145,13019,13019,18446619757348945920,22155264,248,1,1
2025-08-27 14:08:53.667145,16451,16457,18446619753734404352,17137664,3104,4,4
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874429988864,2048,2,2
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161192960,2416,1,1
2025-08-27 14:08:53.667145,13095,13664,18446619754767485696,824634146816,3912,4,4
2025-08-27 14:08:53.667145,838,15305,18446619754133548544,110455243796480,1216,113,113
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161278976,2000,2,2
2025-08-27 14:08:53.667145,13095,13669,18446619754767485696,824638144512,3912,34,34
2025-08-27 14:08:53.667145,13253,16544,18446619754767492736,124874161250304,148,1,1
2025-08-27 14:08:53.667145,13019,13019,18446619757348945920,824634138624,2888,43,43
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874093789184,2180,7,7
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874093789184,2176,5,5
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161233920,1424,2,2
2025-08-27 14:08:53.667145,13095,13671,18446619754767485696,824638144512,2120,12,12
2025-08-27 14:08:53.667145,13095,13671,18446619754767485696,824634146816,3912,41,41
2025-08-27 14:08:53.667145,13120,13756,18446619757348965632,131772475240448,1040,37,37
2025-08-27 14:08:53.667145,12972,13410,18446619755031287808,135707930460160,4024,1,1
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161242112,740,1,1
2025-08-27 14:08:53.667145,13095,13670,18446619754767485696,824634146816,3912,68,68
2025-08-27 14:08:53.667145,13095,13670,18446619754767485696,27942912,3024,1,1
2025-08-27 14:08:53.667145,13253,16539,18446619754767492736,124874161270784,2564,1,1
2025-08-27 14:08:53.667145,838,12627,18446619754133548544,824649203712,1096,7,7
2025-08-27 14:08:53.667145,13120,13756,18446619757348965632,131772469637120,3824,3,3
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161242112,736,2,2
2025-08-27 14:08:53.667145,13120,13753,18446619757348965632,131772475289600,2112,1,1
2025-08-27 14:08:53.667145,13120,16577,18446619757348965632,131772475289600,2112,4,4
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161393664,4052,9,9
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874429988864,2128,6,6
2025-08-27 14:08:53.667145,13253,16545,18446619754767492736,124874161278976,2000,1,1
2025-08-27 14:08:53.667145,13019,13672,18446619757348945920,824634130432,2120,33,33
2025-08-27 14:08:53.667145,13253,16578,18446619754767492736,124874161254400,3684,1,1
2025-08-27 14:08:53.667145,13120,16577,18446619757348965632,131772469637120,3152,3,3
2025-08-27 14:08:53.667145,13120,13756,18446619757348965632,131772472004608,2608,4,4
2025-08-27 14:08:53.667145,13253,16538,18446619754767492736,124874161287168,1472,1,1
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161393664,4048,11,11
2025-08-27 14:08:53.667145,13253,16536,18446619754767492736,124874161262592,3124,2,2
2025-08-27 14:08:53.667145,13253,16535,18446619754767492736,124874161278976,2000,1,1
2025-08-27 14:08:53.667145,13253,16545,18446619754767492736,124874161242112,736,1,1
2025-08-27 14:08:53.667145,13095,13666,18446619754767485696,27942912,3040,89,89
2025-08-27 14:08:53.667145,13120,13756,18446619757348965632,131772469637120,3344,4,4
2025-08-27 14:08:53.667145,13095,13666,18446619754767485696,824638144512,2120,45,45
2025-08-27 14:08:53.667145,13253,16579,18446619754767492736,124874161242112,656,1,1
2025-08-27 14:08:53.667145,13253,13684,18446619754767492736,124874093789184,2096,2,2
2025-08-27 14:08:53.667145,13253,16543,18446619754767492736,124874161254400,3680,3,3
2025-08-27 14:08:53.667145,13095,13671,18446619754767485696,27942912,2808,9,9
2025-08-27 14:08:53.667145,12972,12972,18446619755031287808,135707851141120,2340,19,19
