ts_s,pid,tid,futex_key_addr,futex_key_word,futex_key_offset,total_requests,total_time,hist0,hist1,hist2,hist3,hist4,hist5,hist6,hist7
2025-08-27 14:06:53.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:53.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:54.667145,13019,13672,18446619757348945920,824634138624,2888,1,999961617,0,0,0,0,0,0,0,1
2025-08-27 14:06:54.667145,13019,13493,18446619757348945920,22155264,224,1,989911613,0,0,0,0,0,0,0,1
2025-08-27 14:06:55.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:55.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:56.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:56.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:57.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:57.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:58.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:58.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:59.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:59.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:00.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:00.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:01.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:01.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:02.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:02.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:03.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:03.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:04.667145,13019,13672,18446619757348945920,824634138624,2888,1,999961330,0,0,0,0,0,0,0,1
2025-08-27 14:07:04.667145,13019,13493,18446619757348945920,22155264,224,1,989916487,0,0,0,0,0,0,0,1
2025-08-27 14:07:05.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:05.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:06.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:06.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:07:07.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:07:07.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
